id,scientificName,species,genus,family,phylum,class,eventDate,decimalLatitude,decimalLongitude,depth,minimumDepthInMeters,maximumDepthInMeters,country,locality,marine,basisOfRecord
002a9430-e58b-4262-914b-89a6e7a303b9,Cephalopholis argus,Cephalopholis argus,Cephalopholis,Epinephelidae,Chordata,Teleostei,2023-03-31T09:24:00+05:00,4.2972144678,73.5541350828,,,,,,True,HumanObservation
002b3af3-9d9e-4181-8c84-9358ba814675,Anguilla bicolor,Anguilla bicolor,Anguilla,Anguillidae,Chordata,Teleostei,,6.916667,80.183333,,,,Sri Lanka,,True,PreservedSpecimen
002ba565-8bb5-42d7-a047-ed5d61795f38,Zanclus cornutus,Zanclus cornutus,Zanclus,Zanclidae,Chordata,Teleostei,2025-10-20T02:52:00+05:30,11.9760503,92.9875565,,,,,,True,HumanObservation
002c4d54-b118-408c-a64c-1314c5b086f7,Plectorhinchus vittatus,Plectorhinchus vittatus,Plectorhinchus,Haemulidae,Chordata,Teleostei,2008-01-30T11:33:00+05:00,4.2850944444,73.4269638889,,,,,,True,HumanObservation
002d93ac-c1b6-488f-84dd-43b4e600a3ce,Actinopteri,,,,Chordata,,2023-01-09,21.7933049,89.2808746,,,,,Sundarban's west wildlife sanctuary,True,MachineObservation
002dcf33-5359-4507-8114-58ff94db5937,Thalassoma hardwicke,Thalassoma hardwicke,Thalassoma,Labridae,Chordata,Teleostei,1969/1980,10.94,72.29,,,,,Bangaram,True,HumanObservation
002e0abb-6bac-4393-9c21-7674fd7a28fd,Parascolopsis capitinis,Parascolopsis capitinis,Parascolopsis,Nemipteridae,Chordata,Teleostei,1970-05-03T12:00:00Z,8.60000038147,81.1999969482,,,,Sri Lanka,Ceylon - Fish Market In Colombo (Fish Landed At Trincomalee),True,PreservedSpecimen
002e1287-91aa-4cb7-bc06-7aa77dcce835,Pseudobalistes flavimarginatus,Pseudobalistes flavimarginatus,Pseudobalistes,Balistidae,Chordata,Teleostei,1829,10.0,93.0,,,,,Andaman & Nicobar Islands,True,HumanObservation
002e6967-d764-48b0-8cc5-818de74feba7,Chaetodon trifasciatus,Chaetodon trifasciatus,Chaetodon,Chaetodontidae,Chordata,Teleostei,,3.080833,72.96575,,,,Maldives,Faafu_Atoll,True,PreservedSpecimen
0032ca12-f609-449d-acd2-49a262a731ad,Parupeneus cyclostomus,Parupeneus cyclostomus,Parupeneus,Mullidae,Chordata,Teleostei,2025-01-13T15:09:00+05:00,4.5328002137,73.3736049011,,,,,,True,HumanObservation
0032e15c-547a-4609-8691-726ace089279,Engraulidae,,,Engraulidae,Chordata,Teleostei,2023-01-09,21.7039313,89.2610014,,,,,Sundarbans west wildlife sanctuary,True,MachineObservation
0033a5c6-def9-4080-9a52-b70197b0fd62,Melichthys indicus,Melichthys indicus,Melichthys,Balistidae,Chordata,Teleostei,2024-08-05T15:28:10+05:00,5.7348519064,73.3540268629,,,,,,True,HumanObservation
0034ca68-2fd5-49dd-aa11-0c03ba27cb39,Cynoglossus lida,Cynoglossus lida,Cynoglossus,Cynoglossidae,Chordata,Teleostei,2012-01-01/2012-04-30,9.233333333,79.18333333,,,,India,Poomarichan Island,True,HumanObservation
0034eabd-a633-47c7-b355-b1b09f5a4bd1,Rhabdosargus sarba,Rhabdosargus sarba,Rhabdosargus,Sparidae,Chordata,Teleostei,,21.9442127684078,88.8980217778187,,,,India,Indian Sundarbans,True,HumanObservation
0036979b-e777-4b16-90b6-992da10c3805,Thunnus obesus,Thunnus obesus,Thunnus,Scombridae,Chordata,Teleostei,,2.95575,65.7544999999999,,,,,,True,Occurrence
003727e4-1cf5-46db-b3af-6c713dc4a241,Tylosurus crocodilus,Tylosurus crocodilus,Tylosurus,Belonidae,Chordata,Teleostei,2025-12-20T10:03:03+05:00,4.22888,73.520905,,,,,,True,HumanObservation
003751b8-dfd6-4ba8-8a7a-c03ea7503725,Cantherhines dumerilii,Cantherhines dumerilii,Cantherhines,Monacanthidae,Chordata,Teleostei,2019-04-08T10:17:00+05:00,3.2149680399,73.0355465664,,,,,,True,HumanObservation
0037f57b-1051-440a-ba86-bbcfd69effc5,Parupeneus trifasciatus,Parupeneus trifasciatus,Parupeneus,Mullidae,Chordata,Teleostei,2025-10-04T12:35:00+05:00,2.1340007946,73.5862394517,,,,,,True,HumanObservation
0039f56e-481d-47ad-aa3b-acc39cb086b9,Gomphosus caeruleus,Gomphosus caeruleus,Gomphosus,Labridae,Chordata,Teleostei,2022-04-04T08:41:00-10:00,3.4978092354,72.9021015767,,,,,,True,HumanObservation
003a8dc4-6e2a-4036-adbb-3d1800aa6b41,Amphiprion clarkii,Amphiprion clarkii,Amphiprion,Pomacentridae,Chordata,Teleostei,2021-05-20T08:03:00-10:00,3.9600967,72.9071618,,,,,,True,HumanObservation
003c8b4e-8422-4c3f-840a-667f61f7512e,Acanthurus gahhm,Acanthurus gahhm,Acanthurus,Acanthuridae,Chordata,Teleostei,,4.1,72.7417,,,,Maldives,,True,PreservedSpecimen
003c958b-726b-4845-8f99-72a2082d2eaf,Epigonus pandionis,Epigonus pandionis,Epigonus,Epigonidae,Chordata,Teleostei,1998/2007,12.4779,73.2697,350.0,200.0,500.0,,Southwest coast of India,True,HumanObservation
003cf651-de6c-453d-89df-e97ad14c2a84,Actinopteri,,,,Chordata,,2023-01-09,21.7933049,89.2808746,,,,,Sundarban's west wildlife sanctuary,True,MachineObservation
003d21e5-53b5-4b36-8795-57c6a94217c5,Acanthocybium solandri,Acanthocybium solandri,Acanthocybium,Scombridae,Chordata,Teleostei,,0.36680555,67.6668,,,,,,True,Occurrence
003ea100-1848-4dac-b1b1-ae6e192b48cc,Lutjanus monostigma,Lutjanus monostigma,Lutjanus,Lutjanidae,Chordata,Teleostei,2025-11-16T08:24:00+05:00,4.6347889721,73.5620307016,,,,,,True,HumanObservation
003ea281-3281-4745-9c23-42623b2a4941,Pomacentrus indicus,Pomacentrus indicus,Pomacentrus,Pomacentridae,Chordata,Teleostei,2025-03-11T14:13:00+05:00,4.1835791334,72.773314243,,,,,,True,HumanObservation
003f30d9-ed32-438c-8140-48b171e54667,Colletteichthys dussumieri,Colletteichthys dussumieri,Colletteichthys,Batrachoididae,Chordata,Teleostei,,18.9330005646,72.8499984741,,,,Inde,,True,PreservedSpecimen
003f3dd1-98a8-4d84-8fdd-d50e62832496,Scatophagus argus,Scatophagus argus,Scatophagus,Scatophagidae,Chordata,Teleostei,2023-01-09,21.703926,89.2610127,,,,,Sundarban west wildlife sanctuary,True,MachineObservation
003f7aa0-9d79-4496-abe1-7d6cb93267bc,Argyropelecus hemigymnus,Argyropelecus hemigymnus,Argyropelecus,Sternoptychidae,Chordata,Teleostei,1985/1987,12.8,86.0,220.0,40.0,400.0,,Bay of Bengal,True,HumanObservation
003fc8b5-07d8-48c9-9b9b-a1ee65598232,Megalaspis cordyla,Megalaspis cordyla,Megalaspis,Carangidae,Chordata,Teleostei,,6.935352,79.868721,,,,Sri Lanka,,True,PreservedSpecimen
0040462f-4e24-4752-be5f-fdbc56de2917,Echidna nebulosa,Echidna nebulosa,Echidna,Muraenidae,Chordata,Teleostei,2024-01-20T13:46:00+05:00,4.2566248,73.5399411,,,,,,True,HumanObservation
00410505-95de-492a-972d-c00557378546,Leiognathidae,,,Leiognathidae,Chordata,Teleostei,2023-01-09,21.7039313,89.2610014,,,,,Sundarbans west wildlife sanctuary,True,MachineObservation
00424b12-e834-4aab-9219-eaa585d36d6b,Chanda nama,Chanda nama,Chanda,Ambassidae,Chordata,Teleostei,1996-06-05,21.30084,92.081652,,,,Bangladesh,First large tidal stream on road to Tek Naf from Cox Bazar.,False,PreservedSpecimen
00425f42-190c-4ea9-a17d-34aa82fe9d41,Lutjanus lutjanus,Lutjanus lutjanus,Lutjanus,Lutjanidae,Chordata,Teleostei,2007/2008,8.6626,78.3192,22.0,22.0,22.0,,Tuticorin,True,HumanObservation
0043bb04-f3e7-4fae-ad66-c0de3230bfd3,Amphiprion clarkii,Amphiprion clarkii,Amphiprion,Pomacentridae,Chordata,Teleostei,2026-03-23T14:43:00+05:00,4.0000144,72.7859088,,,,,,True,HumanObservation
